type,d1
Strong Democrat,1.72238848461415
Weak Democrat,2.63559518494221
Weak Democrat,1.70740910875742
Strong Democrat,2.29562488076805
Strong Democrat,3.01219253074535
Strong Democrat,2.85472071009677
Weak Democrat,2.35283229290042
Weak Democrat,1.74043906830053
Weak Democrat,2.15413081925445
Strong Democrat,2.12581752701619
Weak Democrat,1.51898689329497
Weak Democrat,2.03909258738995
Strong Democrat,2.46787052476492
Weak Democrat,2.53092647219391
Weak Democrat,2.42963445569161
Strong Democrat,1.44420137105934
Weak Democrat,1.98597077265507
Weak Democrat,2.35279224888567
Weak Democrat,1.18020238068638
Weak Democrat,1.1872286137962
Weak Democrat,2.90180790734218
Strong Democrat,2.67242053370751
Strong Democrat,2.29332996646849
Weak Democrat,2.29562488076805
Strong Democrat,2.28498950778456
Strong Democrat,1.75020288732334
Weak Democrat,1.77652175276036
Weak Democrat,1.81300927182998
Strong Democrat,2.22193356035557
Strong Democrat,1.86200822885578
Weak Democrat,1.2542952056817
Weak Democrat,2.6972578983996
Weak Democrat,0.952762424953922
Strong Democrat,3.20741065000976
Weak Republican,2.63810660617713
Weak Republican,1.155907409862
Strong Republican,1.78305163486392
Strong Republican,1.46196863369526
Strong Republican,1.9794247732985
Strong Republican,2.12746483416866
Strong Republican,0.684818889900999
Weak Republican,1.58520186910596
Strong Republican,1.60836170616097
Weak Republican,0.392413285945884
Strong Republican,1.20736552932459
Weak Republican,1.09081465601338
Strong Republican,0.872675494731094
Weak Republican,1.42357852987482
Weak Republican,1.85952547503675
Weak Republican,1.86200822885578
Strong Republican,0.855046770681654
Weak Republican,2.53092647219391
Weak Republican,1.85952547503675
Weak Republican,1.73348780888914
Weak Republican,1.6527773369198
Weak Republican,1.28807600129393
Weak Republican,1.65529138251809
Strong Republican,1.61757546142911
Strong Republican,1.66148352089586
Strong Republican,1.27604132445996
Strong Republican,0.433975895978048
Weak Republican,2.03909258738995
Strong Republican,2.67242053370751
Weak Republican,2.07671057299504
Weak Republican,1.70400051745307
Weak Republican,1.46276735616722
Weak Republican,1.2542952056817
Weak Republican,0.844694965806794
Weak Republican,1.7664033307306
Strong Republican,1.04497423193273
Strong Republican,0.536722979320149
Weak Republican,1.50725731848834
Weak Republican,2.29971047816553
Weak Republican,2.70339792604333
Strong Republican,0.992697098352247
Strong Republican,0.891312680619775
Weak Republican,1.73114954032567
Strong Republican,1.33127484668092
Weak Republican,0.884026664402435
Strong Republican,1.84890317027101
Weak Republican,2.28498950778456
Weak Republican,1.19982341039029
Weak Republican,1.28604339164696
Strong Republican,2.18058664890355
Strong Republican,1.1270805659515
Strong Republican,1.07519693789266
Weak Republican,1.64435316132843
Weak Republican,1.26060682455363
Weak Republican,1.07519693789266
Weak Republican,1.7664033307306
Weak Republican,1.95431011764758
Weak Republican,2.24445179226695
Strong Republican,1.57210870802985
Weak Republican,1.155907409862
Strong Republican,1.52931492946393
Strong Republican,1.42609930108099
Weak Republican,1.58520186910596
Weak Republican,0.648367111784768
Strong Republican,1.8209970239988
Strong Republican,1.155907409862
Weak Republican,2.10794519326513
Weak Republican,2.57253923751322
Weak Republican,1.44420137105934
Strong Republican,2.05377351375618
Weak Republican,1.41659642126057
Weak Republican,2.21718676668344
Weak Republican,2.59872921329503
Strong Republican,1.64875138000193
Weak Republican,1.46269673919103
Weak Republican,1.37199088799948
Strong Republican,1.30300434061668
Weak Republican,1.29524061255088
Strong Republican,1.55760744498735
Strong Republican,0.76601906251344
Strong Republican,1.10859338334172
Weak Republican,1.49968183706295
Weak Republican,1.75712233218795
Strong Republican,1.43446907375965
Weak Republican,1.155907409862
Weak Republican,1.36769159023279
Strong Republican,0.693765894180526
Strong Republican,1.1619933168899
Weak Republican,1.80765605915788
Weak Republican,1.15792538985691
Weak Republican,1.75712233218795
Strong Republican,0.848582015332032
Strong Republican,1.37259382082925
Strong Republican,1.11620545804002
Weak Republican,1.36769159023279
Weak Republican,1.2542952056817
Weak Republican,1.23809593532508
Weak Republican,1.88650737654646
Weak Republican,2.10689532849107
Weak Republican,1.6870324233183
Weak Republican,1.17657792835136
Weak Republican,1.70841319725297
Weak Republican,1.66749209630058
Strong Republican,1.54347782813657
Strong Republican,1.0721903819317
Strong Republican,1.93521651148144
Weak Republican,1.36882314853285
Weak Republican,1.74043906830053
Weak Republican,2.0124390084986
Strong Republican,1.57210870802985
Strong Republican,1.6527773369198
Weak Republican,2.15789797482064
Strong Republican,1.155907409862
Strong Republican,1.44681508992352
Weak Republican,1.19763145083139
Weak Republican,1.2151063793893
Weak Republican,1.88836653112722
Weak Republican,1.1638361519955
Strong Republican,1.1872286137962
Weak Republican,0.994284070630867
Weak Republican,1.6135885106274
Strong Republican,0.576919951501566
Weak Republican,0.908434325152868
Strong Republican,2.00338301407745
Weak Republican,2.25053618790256
Weak Republican,1.63311447279818
Strong Republican,1.71737046053789
Weak Republican,1.49168984076906
Weak Republican,1.71737046053789
Weak Republican,0.286948169266328
Weak Democrat,1.22298744421797
Weak Republican,1.31456977549791
Weak Republican,1.29422987908003
Weak Republican,1.87216056405245
Strong Republican,1.54347782813657
Strong Republican,0.783300681865087
Weak Republican,1.35829655997988
Strong Republican,2.20024708205693
Strong Republican,1.56298949372629
Weak Republican,0.799666925097077
Weak Republican,0.861935088971155
Weak Republican,1.40194286880821
Strong Republican,1.16367800406154
Strong Republican,1.20192799028823
Weak Republican,0.319141186188707
Strong Republican,2.22193356035557
Weak Republican,1.25897470261276
Weak Republican,1.155907409862
Strong Republican,1.28807600129393
Strong Republican,0.427153184943395
Weak Republican,2.0840934860468
Weak Republican,1.85952547503675
Weak Republican,0.971912719161133
Strong Republican,0.324893558401211
Weak Republican,2.29562488076805
Strong Republican,1.20192799028823
Weak Republican,0.991351259904776
Weak Republican,1.20371608898038
Strong Republican,1.80787659336158
Strong Republican,1.56298949372629
Strong Republican,1.41659642126057
Weak Republican,1.42543885355542
Strong Republican,0.980687493485782
Strong Republican,2.12746483416866
Weak Republican,0.992697098352247
Weak Republican,2.10794519326513
Weak Republican,1.19870118842793
Strong Republican,1.26381551432428
Strong Republican,0.511693173308395
Weak Republican,1.32203065004176
Strong Republican,0.992697098352247
Strong Republican,1.52191864838969
Weak Republican,0.574155812711764
Strong Republican,1.15792538985691
Strong Republican,1.07519693789266
Strong Republican,1.04027343912823
Weak Republican,1.14990884075984
Strong Republican,1.07519693789266
